name
BTC
ETH
SOL
MATIC
BNB
LUNA
BUSD
SHIB
XRP
REQ
USDT
SAND
TRX
AVAX
DOT
ADA
MBOX
LTC
MANA
LINK
ALGO
OKB
ZEC
JST
CRO
DOGE
SFP
BTT
DYDX
1INCH
FIL
FTM
BAT
LRC
CRV
EGLD
BCH
ATOM
USDC
UNI
EOS
AXS
XLM
CTK
QTUM
VET
OMG
ETC
FTT
ENJ
XTZ
THETA
ICP
CHZ
SUSHI
RSR
GRT
XMR
NFT
CTSI
CAKE
OCEAN
STX
ANKR
ROSE
SRM
